"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
1,"Bogotá","2016-09-18 01:54:11","2016-09-18 02:17:49",-74.1703525614726,4.62269893681507,-74.1192589625,4.57232186250001,"N",1419,11935,293
2,"Bogotá","2016-09-18 03:31:05","2016-09-18 03:44:06",-74.1235421709328,4.60407518774093,-74.1161250808708,4.57257787972134,"N",782,7101,139
3,"Bogotá","2016-08-07 03:35:36","2016-09-18 04:30:31",-74.1786432030392,4.64617644772059,-74.1787113686441,4.64636656779659,"N",3632095,2655,2534
4,"Bogotá","2016-09-18 04:31:13","2016-09-18 04:32:19",-74.163398002229,4.64194899713534,-74.1658128548868,4.64064892728687,"N",66,318,52
5,"Bogotá","2016-09-13 12:07:04","2016-09-18 05:00:44",-74.1375390292511,4.59634746599009,-74.1253638578788,4.57674517185731,"N",449620,3228,211
6,"Bogotá","2016-09-18 05:39:06","2016-09-18 06:37:07",-74.0265948772727,4.76135243181817,-74.0865878606557,4.57894484754096,"N",3482,27760,796
7,"Bogotá","2016-09-18 07:33:15","2016-09-18 08:07:08",-74.1553307625,4.599742625,-74.0382286312169,4.76459902433861,"N",2034,27136,215
8,"Bogotá","2016-09-18 10:08:31","2016-09-18 10:11:42",-74.049168,4.736697,-74.05064132,4.71874529999999,"N",191,2458,0
9,"Bogotá","2016-09-18 10:11:54","2016-09-18 10:17:01",-74.0492719242543,4.71833299048714,-74.03031266,4.71093197999999,"N",308,2358,93
10,"Bogotá","2016-09-19 06:38:17","2016-09-19 06:56:23",-74.1290421184353,4.65612861700908,-74.1641182755585,4.6237035414663,"N",1086,5876,6
11,"Bogotá UberX","2016-09-18 08:07:21","2016-09-19 12:35:25",-74.0381941160626,4.76466009692268,-74.03749838,4.76460013999999,"N",59285,89,85
12,"Bogotá","2016-09-19 12:16:52","2016-09-19 12:44:15",-74.1072956921606,4.65440766128844,-74.10238347665,4.61587479305453,"N",1643,7177,738
13,"Bogotá","2016-09-19 12:35:34","2016-09-19 01:30:31",-74.0505948598333,4.7519640889818,-74.05084746,4.75201558000001,"N",3298,11289,1776
14,"Bogotá","2016-09-19 01:39:38","2016-09-19 01:54:46",-74.0507049189496,4.75213559118722,-74.0508958314049,4.75204499504132,"N",909,7590,170
