"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
1,"México DF Taxi de Sitio","2016-09-16 07:14:12","2016-09-18 04:41:40",-99.0973685123949,19.4168743724184,-99.2027286999851,19.4303531971542,"N",120449,12373,242
2,"México DF Taxi Libre","2016-09-18 06:16:33","2016-09-18 10:11:43",-99.2971484366732,19.3221277938308,-99.2899491307845,19.3265383409086,"N",14110,1700,461
3,"México DF Taxi Libre","2016-09-18 10:11:50","2016-09-18 10:23:11",-99.2896028575666,19.3262625677733,-99.2718736003419,19.3285303084122,"N",681,2848,129
4,"México DF Taxi Libre","2016-09-18 10:23:38","2016-09-18 10:30:53",-99.2711609184774,19.3288751603942,-99.2798998325071,19.3262558086244,"N",436,1409,106
5,"México DF Taxi Libre","2016-09-18 10:44:18","2016-09-18 10:51:40",-99.282760564742,19.3269442547731,-99.2917049335146,19.3227535991281,"N",442,1567,85
6,"México DF Taxi Libre","2016-09-18 10:58:07","2016-09-18 10:59:46",-99.2897117373175,19.3229290907957,-99.28928032,19.32597834,"N",100,797,19
7,"México DF Taxi Libre","2016-09-18 11:00:00","2016-09-18 11:05:45",-99.2853914251227,19.326246570615,-99.2825491942282,19.3281171303978,"N",345,676,169
8,"México DF Taxi Libre","2016-09-18 11:08:03","2016-09-18 11:17:06",-99.2858911590527,19.3300220658323,-99.289828,19.31916966,"N",544,3771,37
9,"México DF Radio Taxi","2016-09-18 01:06:08","2016-09-18 01:26:34",-99.1823461401054,19.370885297397,-99.176534111828,19.3414101494624,"N",1226,5662,572
10,"México DF Taxi de Sitio","2016-09-18 03:42:18","2016-09-18 04:11:00",-99.0747945,19.41258924,-99.1612394619893,19.3817008296625,"N",1723,14349,459
11,"México DF Taxi de Sitio","2016-09-17 05:27:15","2016-09-18 04:12:15",-99.179569602105,19.4386264924141,-99.1796888598233,19.4385306956427,"N",81901,2789,157
12,"México DF Taxi Libre","2016-09-18 11:28:56","2016-09-18 11:34:45",-99.2903399831339,19.3312143732811,-99.2948957334048,19.3206866935109,"N",349,1693,33
13,"México DF Taxi de Sitio","2016-09-18 04:12:21","2016-09-18 04:21:02",-99.1796294740394,19.4385894108745,-99.1791074530471,19.4387774158831,"N",521,2279,181
14,"México DF Taxi de Sitio","2016-09-18 04:27:42","2016-09-18 04:35:52",-99.1675894524336,19.3713349951328,-99.1705506775685,19.3875829506849,"N",490,2725,125
15,"México DF Radio Taxi","2016-09-18 03:04:34","2016-09-18 05:00:20",-99.1800423723855,19.3702221294298,-99.193288,19.34044954,"N",6946,4489,182
16,"México DF UberX","2016-09-18 05:39:10","2016-09-18 05:52:15",-99.140267803071,19.4800461122841,-99.1537898080732,19.4263262195977,"N",786,10933,173
17,"México DF Radio Taxi","2016-09-18 04:59:28","2016-09-18 06:12:01",-99.2019088865385,19.5672202288461,-99.2033452575472,19.5794666264151,"N",4353,1459,139
18,"México DF Taxi Libre","2016-09-18 08:46:39","2016-09-18 08:53:10",-99.2812339200123,19.333768101336,-99.2901493567215,19.3256891263797,"N",391,3309,34
19,"México DF Taxi Libre","2016-09-18 09:34:44","2016-09-18 09:44:57",-99.2892185835262,19.336545617834,-99.2712829840518,19.3247660734192,"N",613,5651,34
20,"México DF Taxi Libre","2016-09-18 09:46:27","2016-09-18 09:47:55",-99.2726998463385,19.3225621195357,-99.2733927406373,19.3272630681467,"N",88,602,20
21,"México DF Taxi Libre","2016-09-18 09:48:17","2016-09-18 09:59:25",-99.2736335618569,19.3274661625766,-99.279939547587,19.3433856861646,"N",668,3931,21
22,"México DF Taxi Libre","2016-09-18 10:04:22","2016-09-18 10:30:16",-99.272464243435,19.3455538165888,-99.2697263888128,19.3360382826761,"N",1555,6172,310
23,"México DF Taxi Libre","2016-09-18 11:56:29","2016-09-19 12:08:58",-99.2847578231604,19.3266295740138,-99.2972409614789,19.3216481604953,"N",750,2148,226
24,"México DF Taxi Libre","2016-09-19 12:14:12","2016-09-19 12:15:32",-99.3013153152031,19.319494154104,-99.3015523428368,19.319171629837,"N",81,442,16
25,"México DF Taxi de Sitio","2016-09-18 05:52:48","2016-09-19 01:39:01",-99.1536849709731,19.4263135290269,-99.063964431051,19.4135642509554,"N",27973,24637,614
26,"México DF Taxi de Sitio","2016-09-19 01:39:25","2016-09-19 01:42:47",-99.0623593735849,19.4133856990566,-99.0534515338465,19.426973691181,"N",203,2399,3
27,"México DF Taxi de Sitio","2016-08-18 01:47:19","2016-09-19 08:46:19",-99.0402742728505,19.5666238044815,-99.0397932817952,19.5924017841744,"N",2746741,4098,136
28,"México DF Taxi de Sitio","2016-09-19 08:46:22","2016-09-19 10:15:46",-99.0419200738541,19.5865584813533,-99.1846980095098,19.3851774988688,"N",5364,43555,1287
29,"México DF Taxi de Sitio","2016-09-19 10:16:05","2016-09-19 10:28:52",-99.1702047680525,19.4639867109409,-99.15494316,19.47194766,"N",767,3920,362
30,"México DF UberXL","2016-09-19 12:30:39","2016-09-19 12:33:30",-99.1736026042804,19.3899887689277,-99.1736015772012,19.3899884227988,"N",172,27,174
31,"México DF Radio Taxi","2016-09-19 12:16:55","2016-09-19 12:41:28",-99.2162439879061,19.2844282153053,-99.1487070717184,19.2998707146778,"N",1474,10114,508
32,"México DF Taxi de Sitio","2016-09-18 04:12:21","2016-09-18 04:21:02",-99.1796294740394,19.4385894108745,-99.1791074530471,19.4387774158831,"N",521,2279,181
33,"México DF Taxi de Sitio","2016-09-19 01:41:09","2016-09-19 01:42:49",-99.1796843373128,19.4383766788713,-99.17739422874,19.4378952846404,"N",101,296,52
34,"México DF UberX","2016-09-19 02:04:43","2016-09-19 02:12:08",-99.1622524557294,19.3862981621598,-99.173536362069,19.3898593,"N",446,2692,49
35,"México DF Taxi de Sitio","2016-09-19 02:04:15","2016-09-19 02:13:44",-99.1795053654816,19.4386781474066,-99.1599107010479,19.4364515273175,"N",569,2794,250
36,"México DF Taxi Libre","2016-09-19 11:47:23","2016-09-19 02:21:19",-99.0161331831652,19.6252154679818,-99.04059584,19.50539346,"N",9236,14432,132
37,"México DF Taxi de Sitio","2016-09-19 02:32:48","2016-09-19 02:41:30",-99.1796840701512,19.4387047997509,-99.1726509572513,19.4331846773356,"N",523,1447,326
38,"México DF Taxi de Sitio","2016-09-19 02:24:10","2016-09-19 02:53:57",-99.1988404187145,19.3973947709461,-99.1691889226215,19.4241893138485,"N",1787,8351,660
39,"México DF Taxi de Sitio","2016-09-19 03:06:10","2016-09-19 03:10:59",-99.1796041296065,19.4385160465794,-99.1743264507386,19.4428391545899,"N",290,1064,124
40,"México DF UberX","2016-09-19 02:39:45","2016-09-19 03:20:55",-99.1604029187603,19.4390405351887,-99.1738232912741,19.3903205397341,"N",2470,7706,1309
41,"México DF Taxi de Sitio","2016-09-19 03:30:36","2016-09-19 03:39:31",-99.1795098003448,19.4387151171957,-99.1743234281671,19.4390973223531,"N",535,866,97
42,"México DF Taxi Libre","2016-09-19 03:41:41","2016-09-19 03:59:36",-99.1514525344169,19.4662729092115,-99.166761785838,19.4352252502175,"N",1076,5356,471
43,"México DF Taxi de Sitio","2016-09-19 03:39:33","2016-09-19 04:07:00",-99.1796316014781,19.4387134403842,-99.1657677280084,19.4442207427625,"N",1648,6902,833
44,"México DF Taxi de Sitio","2016-09-19 04:40:47","2016-09-19 04:50:11",-99.1795283177342,19.4387309855638,-99.163350110719,19.4428419203337,"N",565,2989,178
45,"México DF Taxi de Sitio","2016-09-19 05:24:17","2016-09-19 05:31:50",-99.1795011732434,19.4386675629927,-99.1729606937279,19.4445201790148,"N",453,2441,109
46,"México DF Taxi Libre","2016-09-19 07:23:17","2016-09-19 07:23:53",-99.246533795661,19.3046180394185,-99.24650326,19.3046188,"N",36,22,33
47,"México DF Taxi de Sitio","2016-09-19 07:29:16","2016-09-19 07:34:09",-99.1794205339446,19.438609527849,-99.1740411559003,19.4349250072257,"N",294,829,156
48,"México DF Taxi de Sitio","2016-09-19 07:44:39","2016-09-19 07:59:58",-99.1793946121823,19.438754938078,-99.1821415451491,19.4481622489486,"N",919,2819,446
49,"México DF Taxi de Sitio","2016-09-19 08:08:10","2016-09-19 08:16:32",-99.1793294213603,19.4386583794243,-99.1727655612049,19.4490935353697,"N",502,1908,203
50,"México DF Radio Taxi","2016-09-19 08:33:18","2016-09-19 08:40:27",-99.0672963251074,19.4793988468258,-99.0561137591031,19.4624337920628,"N",429,3741,86
51,"México DF Taxi de Sitio","2016-09-19 09:05:40","2016-09-19 09:44:43",-99.1795058759007,19.4386267838017,-99.1768900677416,19.4396963329067,"N",2343,2362,1977
52,"México DF Taxi Libre","2016-09-19 09:45:12","2016-09-19 09:57:30",-99.2743225958008,19.335531042408,-99.28512902,19.34628964,"N",739,6740,89
53,"México DF Taxi de Sitio","2016-09-19 09:45:06","2016-09-19 10:00:45",-99.1794758017058,19.4385979653462,-99.182925799854,19.4426521129214,"N",939,3383,246
54,"México DF Taxi Libre","2016-09-19 09:59:08","2016-09-19 10:09:49",-99.2870219151058,19.3450290500653,-99.2749602867,19.3327337614973,"N",642,3548,65
55,"México DF Taxi Libre","2016-09-19 11:01:21","2016-09-19 11:02:33",-99.279886267108,19.3400961102275,-99.2862898294882,19.3297919482532,"N",73,1419,45
56,"México DF Taxi Libre","2016-09-19 11:02:48","2016-09-19 11:13:02",-99.2864398611346,19.3298567788672,-99.2971943744684,19.3213243213542,"N",614,3071,50
57,"México DF Taxi Libre","2016-09-19 11:31:45","2016-09-19 11:32:26",-99.2981573489446,19.322228150988,-99.2970596813774,19.3221390702667,"N",42,124,30
58,"México DF Taxi Libre","2016-09-19 03:59:44","2016-09-20 06:05:42",-99.1667485966668,19.4353110389965,-99.0838464071034,19.4375633401977,"N",50759,13727,1379
59,"México DF Taxi Libre","2016-09-20 06:23:38","2016-09-20 06:33:39",-99.2012251490751,19.3912633218716,-99.1882213400165,19.4011009746938,"N",602,1899,170
60,"México DF Taxi de Sitio","2016-09-20 07:42:22","2016-09-20 08:04:47",-99.2034809794015,19.380649470937,-99.2108738508503,19.3999643437269,"N",1346,4732,567
61,"México DF Taxi Libre","2016-09-20 08:22:20","2016-09-20 08:23:00",-99.2818305470958,19.3252286004017,-99.2820946873715,19.3271053204972,"N",41,249,26
62,"México DF Taxi Libre","2016-09-20 08:04:48","2016-09-20 09:20:33",-99.1800357934289,19.4751740095843,-99.1551434,19.4118603,"N",4546,15758,1433
63,"México DF Taxi de Sitio","2016-09-19 07:15:48","2016-09-20 10:55:33",-99.1198299728287,19.4625543677324,-99.1536275670172,19.4262011938525,"N",56386,6321,477
64,"México DF Taxi de Sitio","2016-09-20 10:55:43","2016-09-20 11:14:36",-99.1736341417537,19.3897994944511,-99.1898153189551,19.3560132457071,"N",1134,5887,471
65,"México DF Taxi de Sitio","2016-09-20 06:37:22","2016-09-20 12:04:48",-99.0833589551731,19.4358761899152,-99.1516316166841,19.4663135232036,"N",19646,8903,0
66,"México DF Taxi de Sitio","2016-09-20 12:36:08","2016-09-20 12:43:21",-99.1795582703703,19.4385639633167,-99.184914384703,19.4352844793467,"N",433,1274,228
67,"México DF UberSUV","2016-09-18 05:19:03","2016-09-20 01:10:24",-99.204217622539,19.2816855734699,-99.2080855151519,19.2805298107622,"N",157881,2220,4805
68,"México DF Taxi Libre","2016-09-20 12:11:43","2016-09-20 02:15:55",-99.1516590416348,19.4663440387223,-99.1340820111935,19.415252703843,"N",7453,20624,4524
69,"México DF Taxi de Sitio","2016-09-20 02:07:35","2016-09-20 02:50:00",-99.1795009045723,19.4386671170407,-99.17965625422,19.4385966688406,"N",2545,3460,1666
70,"México DF Taxi de Sitio","2016-09-20 02:50:15","2016-09-20 03:14:08",-99.179564153868,19.4385279128509,-99.1683331843931,19.4302628224298,"N",1433,3559,863
71,"México DF Taxi Libre","2016-09-20 03:20:55","2016-09-20 03:23:21",-99.1326760640186,19.4816388671129,-99.13286234,19.47729882,"N",147,829,12
72,"México DF Taxi de Sitio","2016-09-20 03:27:10","2016-09-20 03:34:29",-99.1796094501341,19.4384751248515,-99.1745109983749,19.4404693525341,"N",440,1455,207
73,"México DF Taxi de Sitio","2016-09-20 03:52:29","2016-09-20 04:21:28",-99.1795618625485,19.4385073597348,-99.1517068940011,19.4440777925055,"N",1740,7214,807
74,"México DF Taxi de Sitio","2016-09-14 06:53:11","2016-09-14 07:45:58",-99.1238731330034,19.2920267641845,-99.16288898,19.42225424,"N",3167,19702,1122
75,"México DF Radio Taxi","2016-09-18 05:04:58","2016-09-20 07:16:43",-99.1797234640111,19.37097292314,-99.1799049921348,19.3701598573034,"N",180705,30113,289
76,"México DF Taxi de Sitio","2016-09-20 07:05:49","2016-09-20 07:24:43",-99.1795830969691,19.43858045062,-99.1656042082176,19.4451656647152,"N",1135,3880,478
77,"México DF Taxi Libre","2016-09-20 12:55:00","2016-09-20 01:03:36",-99.2856698262764,19.3261056154687,-99.2972906437389,19.3217256870966,"N",516,4510,58
78,"México DF Taxi Libre","2016-09-20 07:57:52","2016-09-20 08:20:18",-99.2765571113671,19.344346221659,-99.283611572534,19.3277106596433,"N",1346,6589,394
79,"México DF Taxi de Sitio","2016-09-20 08:19:44","2016-09-20 08:44:26",-99.1797030103815,19.4387049606151,-99.2180140110138,19.4521368359971,"N",1483,5805,363
80,"México DF Taxi de Sitio","2016-09-20 08:05:30","2016-09-20 08:56:16",-99.1236337927162,19.4567401958811,-99.1340392477195,19.4151132085636,"N",3046,5080,57
